tau	alpha	beta	b	rho	L	M	C_I	C_P	C_C
1	1	1	1	0.2	40	50	1	10	50
5	1	1	1	0.2	40	50	1	10	50
10	1	1	1	0.2	40	50	1	10	50
1	1	0.75	1	0.2	40	50	1	10	50
5	1	0.75	1	0.2	40	50	1	10	50
10	1	0.75	1	0.2	40	50	1	10	50
1	1	1.2	1	0.2	40	50	1	10	50
5	1	1.2	1	0.2	40	50	1	10	50
10	1	1.2	1	0.2	40	50	1	10	50
1	0.5	1	1	0.2	40	50	1	10	50
5	0.5	1	1	0.2	40	50	1	10	50
10	0.5	1	1	0.2	40	50	1	10	50
1	2	1	1	0.2	40	50	1	10	50
5	2	1	1	0.2	40	50	1	10	50
10	2	1	1	0.2	40	50	1	10	50
1	1	1	1	0.5	40	50	1	10	50
5	1	1	1	0.5	40	50	1	10	50
10	1	1	1	0.5	40	50	1	10	50
1	1	0.75	1	0.5	40	50	1	10	50
5	1	0.75	1	0.5	40	50	1	10	50
10	1	0.75	1	0.5	40	50	1	10	50
1	1	1.2	1	0.5	40	50	1	10	50
5	1	1.2	1	0.5	40	50	1	10	50
10	1	1.2	1	0.5	40	50	1	10	50
1	0.5	1	1	0.5	40	50	1	10	50
5	0.5	1	1	0.5	40	50	1	10	50
10	0.5	1	1	0.5	40	50	1	10	50
1	2	1	1	0.5	40	50	1	10	50
5	2	1	1	0.5	40	50	1	10	50
10	2	1	1	0.5	40	50	1	10	50
1	1	1	1	0.8	40	50	1	10	50
5	1	1	1	0.8	40	50	1	10	50
10	1	1	1	0.8	40	50	1	10	50
1	1	0.75	1	0.8	40	50	1	10	50
5	1	0.75	1	0.8	40	50	1	10	50
10	1	0.75	1	0.8	40	50	1	10	50
1	1	1.2	1	0.8	40	50	1	10	50
5	1	1.2	1	0.8	40	50	1	10	50
10	1	1.2	1	0.8	40	50	1	10	50
1	0.5	1	1	0.8	40	50	1	10	50
5	0.5	1	1	0.8	40	50	1	10	50
10	0.5	1	1	0.8	40	50	1	10	50
1	2	1	1	0.8	40	50	1	10	50
5	2	1	1	0.8	40	50	1	10	50
10	2	1	1	0.8	40	50	1	10	50
1	1	1	1	0.2	40	50	1	10	50
1	1	1	1	0.2	40	50	1	10	50
1	1	1	1	0.2	40	50	1	10	100
1	1	1	1	0.2	40	50	5	10	100
1	1	1	1	0.2	40	50	1	50	500
1	1	1	1	0.2	40	50	5	10	500

